split,patient,class_idx,class_name,gt_voxels,pred_voxels,dice,hd95,assd
val,Patient_01,1,esophagus,32335,6996,0.28344054308306427,15.429551354585827,4.550132165972974
val,Patient_01,2,heart,365637,262176,0.8011430155157666,13.844988834242969,5.587201621137145
val,Patient_01,3,trachea,32009,24532,0.725208255955855,14.517645261053229,5.1958517058976845
val,Patient_01,4,aorta,106593,122064,0.7578775196035984,19.79455331196722,4.18971607857763
val,Patient_11,1,esophagus,21526,13228,0.14720607699833113,30.62823329006771,11.637434712770606
val,Patient_11,2,heart,210666,207084,0.6847827648114901,35.31038797944089,11.10827965116256
val,Patient_11,3,trachea,9948,8688,0.6745009658725049,46.52014336931052,4.972985122898946
val,Patient_11,4,aorta,44984,22296,0.3417360285374554,34.8522699583227,8.857525245589233
val,Patient_15,1,esophagus,27084,15820,0.04335260115606936,61.78576540979809,23.10800839373216
val,Patient_15,2,heart,546464,541360,0.8320794540293283,80.0,11.595957793575188
val,Patient_15,3,trachea,36293,24672,0.33704584597720005,38.05231089209605,9.635183754267713
val,Patient_15,4,aorta,232063,31664,0.195330777660232,36.61598609146187,13.183615239002949
val,Patient_17,1,esophagus,12515,3224,0.10356439418006226,17.217410391596708,6.477211484886695
val,Patient_17,2,heart,223397,184744,0.8029234994768965,22.5,5.924265737391671
val,Patient_17,3,trachea,14747,15864,0.5227532586325178,80.21428951167628,10.348584251049855
val,Patient_17,4,aorta,57769,33976,0.48968336149108943,55.638915407002024,8.350035547639845
val,Patient_19,1,esophagus,14990,1092,0.03842805621191394,86.1892076420444,21.766597559897573
val,Patient_19,2,heart,359425,238704,0.7639957266743461,90.96078151203659,12.611360789037905
val,Patient_19,3,trachea,20136,1676,0.013662204291215844,174.47727347862195,36.98887800714443
val,Patient_19,4,aorta,70543,30652,0.468125895548199,44.54629376447051,10.172204841994029
